FFxFoHeOQx4	The Problem That Won’t Let You Go
ErVu7ArBMzw	Tour Live in Omaha: A Night to Change Your Life
yuc807SP_gA	Jordan Peterson Live on Tour: The Hidden Key to a Fulfilling Life
4G0Sh-bw6Gw	The Curse of Immortality | Jacob Howland
Po-NHC2ehlo	Will Tribalism Prevail? | Winston Marshall
YZB8CS-5EvA	Why The Monster In Your Dreams Is Chasing You | Dr. Baland Jalal
obQmX3oUv6w	The Depths of Dante's Inferno | John Vervaeke and Jordan Hall
oSJ9gQRZ6vc	How Head Start Failed Your Children | Corey DeAngelis
vyR9-k-4w3Y	Why Would Good Teachers Stay? | Corey DeAngelis
1nyVHWu7N2Y	Some Dreams Are Really Nightmares | Dr. Arthur Brooks
HWuZsNAX8hk	Musk Losing His Son Changed Everything | Michael Shellenberger
iRDeJbPvnLw	"Insect Protein" - What He Saw At the World Economic Forum | Ezra Levant
EVhL583UBWw	Tommy Robinson Needs Your Support - The Brutal Truth of His Imprisonment
bFAbNRDA23s	How Your Brain Decides Between Conflicting Actions | Dr. David Eagleman
5F9rZQtiZfY	R*pe Gangs and the Shadow of Multiculturalism
08opOTaiWvY	Cargo Cult Syndrome | Kemi Badenoch
wKFEnmTWKkQ	Moral Colonialism | Kemi Badenoch
G8nRXF6ZVdU	How The Global Elites Became Radicals | Matthew Goodwin
SWhiO0B5Hss	"The New Brexit" - Europe Needs Wholesale Regime Change | Matthew Goodwin
aC5rFYXkP_0	Stop Eating For Hibernation, Try Keto | Dr. Benjamin Bikman
ZcdSVbq9vTU	What Really Happened on January 6th | Dr. Simone Gold
zM3zsyzSnxo	Big Tobacco is Behind Addictive Chemicals in Food | Vani Hari
piRGUCbmTH4	The Consequences of Living in a Perpetual Lie | Dr. Simone Gold
MLCRjWdV41g	Someone Else's Reasons Won't Drive You | @TonyRobbinsLive Tony Robbins
-otMiEnp6iI	You Won't Believe Why the Green Agenda Really Failed | Alex Epstein
moCKNNenVDE	Why AIs Deceive You | Marc Andreessen
TiYvIgpvbVU	An Update and Invitation from Dr. Jordan Peterson
YSvH9SQ47Xc	What We Trade for Superintelligence | Alex Epstein
pk5EpagxMoc	The Founding Principle of Hollywood | Rob Schneider
9MsgImiQIc4	The Arrogance of Atheism | Dr. Brian Keating
SlS7pRyhXNU	Tommy Robinson on UK Grooming Gangs - Originally Censored Now Very Relevant
aRTpoIDFXuc	Acknowledge Your Past to Retake Your Future | Greg Laurie
aqa7n2Aq-Bs	How the Compassionate Mislead | Lee Jussim
2pUOCZSjzv4	Season 5 Will Blow You Away: "The Chosen" | Dallas Jenkins
PpjrUzfkfSo	Why "The Chosen" Resonates | Dallas Jenkins
sQDwKUGLN-o	Pierre Poilievre Will Fix This | Terry Glavin
Vn2AVjYWAaA	You Have Likely Committed a “Non-Crime Hate Incident” | Andrew Doyle & Graham Linehan
iP-TgQ75Zxg	Count Dankula was Right | Andrew Doyle & Graham Linehan
f3dedXKAO1E	They Found The Man Behind P*rnhub | Laila Mickelwait
Kr3_dE8H5xs	Don’t Ask Permission - Especially From Yourself | Warren Smith
0KnLb0aSJQE	J. K. Rowling Isn't Wrong | Warren Smith
S_n8VC1k05I	Why P*rn Is Addictive | Laila Mickelwait
qXYlopLahzQ	Is Biden Chasing His Legacy to the Brink? | Dave Rubin
pyxVCWfKdMg	Humans Effectively Have X-Ray Vision | Mark Changizi
IDtclumznPg	Thought & Reality – Not as Separate as You Might Think | Dr. Stephen Hicks
APmg8ZdGEXM	If the Democrats Had Been 10 Percent Better... | Dave Rubin
272Aex6o5Mo	Episode 500: What a Long Strange Trip it's Been | Dave Rubin
8fLwtgNM-ac	The Afterlife Is Real | Greg Laurie
ufSBpCpVKWA	Elon Musk Refused to Bend the Knee | Eduardo Bolsonaro
kFCNwIWxR6Y	Stabbed, Legally Dead Twice, & He Still Kept Fighting | Eduardo Bolsonaro
KmVbZ062Dxo	This “Safe” Drug Supercharges Your Dopamine and Decimates Your Happiness | Dan Williams
-cln1whltnc	Joe and Kamala: Shifting the Cabal | Miranda Devine
kksbu6MDEV8	“It’s the New Lobotomy” – Black Markets and Children’s Hospitals | Dr. Jared Ross
7JBcp0tJJrs	Why They All Resigned | Celina Caesar-Chavannes
gFp2AZBx8hE	Does Facing the Serpent Lead to Redemption? | Richard Dawkins
s1cXGYAGeso	An Unexpected Discussion on the Virgin Birth | Richard Dawkins
lL2scxOtuzk	Negotiation With Jordan B. Peterson | Trailer
e-OG8unU2TI	What Finally Enraged the Silent Majority | Robby Starbuck
w3NOoj373hA	The Worst Form of Immaturity | Dr. Keith Campbell
HVi3aeGDOFE	The Three Body Problem | Spencer Klavan
x3TDCFNmd-Q	What Monet's Haystack Paintings Demonstrate About Reality | Spencer Klavan
USIdC541i0k	How Do You Regulate What Can Outthink You? | Gregg Hurwitz
b1saNKPWGQA	Why Are So Many Against Israel? | Naftali Bennett
nRPGgzrttFs	The Islamic Republic: the Octopus of Terror | Naftali Bennett
Ayz4OqLPnuQ	What You Would Perceive As You Entered a Black Hole | Dr. Brian Greene
k7JTxHwrj84	Psychopathy by Design | Jamie Wheal
vKbAPVz__8s	Man's Role in Co-Creation | Jamie Wheal
A_V-qRS3QiI	One Night at Mar-a-Lago | Robert F. Kennedy Jr.
OrOJB7zGIU4	When the Metaphorical Becomes Physical | Bret Weinstein and Heather Heying
S0nd9hWvVHE	You Can Rescue the Republic – Here's How | Bret Weinstein and Heather Heying
kxIiPAhY2bI	These Are Not Beliefs | Vivek Ramaswamy
7yuHM790ZqU	When Three Ex-Democrats Take On the Machine | Vivek Ramaswamy
9HkEQCShfLA	The Two Main Forms of Narcissism Explained | Keith Campbell
LNU5OfW2Mwc	Tommy Robinson Defends Himself
3W0yTID9Yec	White Guilt | Matt Walsh
EUeKAglNcf8	Fatherlessness Is Increasing Across Communities | Matt Walsh
yZVlKBRWI70	The Natural Resource Curse | John Rustad
lCwWsIa9USw	Tommy Robinson's Run In with the MIB
ans8uqay3cM	Javier Milei Is an Economic Rockstar | Axel Kaiser
ae8vVURajNE	The links between Castro, Chávez, and Maduro | Axel Kaiser
cBU3oVUIfS0	The Fatal Contradiction of the Race Grifters | Coleman Hughes
OaY7EwQ2ts4	You Cannot Force Equal Outcomes | Coleman Hughes
yhF-QFK8mCw	Foucault - Patron Saint of Child Indoctrination | Logan Lancing
CT46qY91r8Y	Marx: the Burden of What Has Been | Logan Lancing
MaDeQIW11FM	The Real Reason Jonah was Swallowed by the Whale
kF5WHSNk-MA	Leaving the Church of Satan | Zeena Schreck
cSyEV0YIaXQ	You Have a Higher Calling, Yield to It | John Rich
VRwyEqOJAIc	Piers Morgan on Nigel Farage and Keir Starmer
2-nUmJDgguY	Should You Dare Criticize Kamala Harris... | Piers Morgan
W_9W0CAH0HE	Sexual Misconduct in the Armed Forces
97R3z2ofuYk	How Diversity Sets People Up for Failure | Dr. Carol Swain
U1s8ujFWigo	The Disgrace and Plagiarism of Claudine Gay | Dr. Carol Swain
iTHuvyHpMNs	The Liberalization of Contraception | Mary Harrington
-5DW98jJaKc	The Biblical Orientation of Women and Motherhood | Mary Harrington
9EfpVmxyrGc	How Transhumanism Subverts our Nature | Mary Harrington
hVzixgFh_a8	Cultural Disintegration | J. D. Haltigan
vvnu0jmbhvA	The Frantic Search For Digital Identity | J. D. Haltigan
apJWPO_qYNo	We Aren't Even a Type One Civilization | David Kipping
aqwtFquM3Ng	Origins of the English Defence League | Tommy Robinson
-_3r0_0BoFY	The Extent of the Problem They Don't Let You See | Tommy Robinson
al0yjeXj8d4	Conservative Failings and the Reform UK Party | Nigel Farage
tcw8tQhQLd4	The Parasite Problem | Chris Olson
K_zgRzQoDUs	The Incoming Wave of Deep Fakes | Chris Olson
TW5L3homvO4	When Federal Agents Knock At Your Door | Dr. Ethain Haim
-Xl7T0x7LV0	The Line Between Play and Malevolence
jqGfrqd0Y2I	National Identity Should Be Part of Education | Katharine Birbalsingh
rlItMr2L-N4	The Michaela School | Katharine Birbalsingh
by87BU6lZcM	Ownership of the Truth Subverts the Pursuit of It | Ayaan Hirsi Ali
7InNdewQwwc	Pursue What Is Meaningful, Not What Is Expedient
N-znoWvOum8	The Health Crisis Is Manufactured | Max Lugavere
OtyeXB2LuSQ	What Is Hamas’ Strategy? | John Spencer
gk8ftgR9jK4	Was Karl Marx a Satanist? | Dr. Paul Kengor
EyLJJLXJueA	Social Media Changed Warfare | John Spencer
PqFBslf0lkY	What Richard Pryor Taught Roseanne Barr
9RBCHjP-X_E	Why We Laugh and the Rarity of Female Comics
R2f13GzlGnc	The Sins of Adam and the True Nature of Eve
4I2cTjiQm20	Is Heaven Supposed To Be Perfect?
aGZTnRGe_qc	Taking the First Step
L-zhpPG4qjs	Clarify What You Want
CX0PggXjWQo	Ask Yourself and Your Partner These Questions
FfX1a4sIPyU	But Did It "Really" Happen? | Alex O'Connor
fR0-V8az4-0	You Can Make the Choice To Aim Up
4wjpeqbfAcU	Why We Go to the Movies | Dennis Quaid
cmSC1eSzpkM	Requiem for Rex Murphy: A Tribute to Newfoundland
96UgJJGqt7A	Have the Gaza Encampment Protests Been Infiltrated by Psychopaths?
vukUbsdYkIU	The Case for Living a Moral Life | Ronnie Janoff-Bulman
5Spwtc77FvE	You Don't Need Hollywood | Brett Cooper
-NrVdM8X7jA	Yes, the Rumors Surrounding Child Actors Are True | Brett Cooper
ONGhezxScmw	There Is a Nuclear Reactor in This Truck
UirQmnGRo7Y	The Cost of Mass Poverty - It's Not Good
OJytoEO-aj4	A Conversation on Women in the Armed Forces
ZJJupdyA7n8	The Cultivated Narcissism of Hollywood | Adrian Grenier
ZNIC-GZzj48	Don’t Ignore Your Dreams
zQdOAHS0TTc	Imprisoned for 16 Months: Reality Over Fiction | Mosab Hassan Yousef
QUhNb6TtByU	“You Are Not Allowed to Speak the Truth”
BNWj6iQOGK4	Consciousness Maps Reality as a Story
e1fMWlQ_uk4	Old Guard Media Kills Long Form Discussion
CSElOjql19Y	Vivek's Campaign: Outreach, Hurdles, & Don Lemon
rdKsO3NFv8s	I Spoke Before the U.S. House Judiciary Committee
SgxOEFD7-rc	My Clinical License is as Good as Gone
eftb29d_sew	Pro-Muslim and Anti-Thug
v_o8goN6FOA	JBP Reacts to Court Decision
BxJ0hO0kxPE	32 Minutes of YouTube “Safe” Content | Kellie-Jay Keen AKA Posie Parker EP 378
5umJbXekS8k	School-Kids as Factory Products | Zach Lahn | EP  370
L_cjujecPsE	An Invitation to the Future
88_TPQL6rJY	Why Working-Class Matter
9ByjCwumwBM	Ancient Wisdom at an Ancient Library
NIMLW2RundY	Killing the Poor to Save the Planet
tF5spyudTYA	Starvation and the Wicked Globalists
RsT8RTa0q5c	All Are Welcome
XHIhtWPpDVI	Behind the scenes at Essay - Write Better. Think Better.
Q5a81_JNaok	Jordan Peterson's Vision for Conservatives | Part 2
h2yHGcmhbEk	Jordan Peterson’s Vision for Conservatives | Part 1
_5os9bT9zuo	Jordan Peterson Comments on the Queen's Passing
SH63RABGK6w	Africa is Not Poor Because of Colonization
Z9SD2TgiZTU	Identity Fixation
--QS_UyW2SY	Back Off, Oh Masters of the Universe
vIt9SgruM9s	The Current Crisis of Masculinity
pPAzLSF7wHY	Why Should You Go to Church?
56jb4YME3n4	Article: Butchers and Liars Reprise
qTk7uEO3QCQ	Why I Joined DailyWire+
Yg0qlnh5I38	Article: Why Twitter Is Insane
UYfKWQqvFac	Article: Twitter Ban
hYWp0zw-qFA	Jordan Peterson's 'Dragons, Monsters, and Men' | Only On DailyWire+
T75gbpezxQE	Jordan Peterson Now on DailyWire+
ayWyzvo9SNY	Doctors & Psychotherapists: Butchers & Liars
g7KI3TO_8-w	Why it's so hard to sit down and work
mtS5mR0eDfo	Poilievre: Call to Action
yDbmla7DKOk	Improve your thinking (a practical exercise)
g2IiNd9c1OY	The Problem With Tearing Down Statues...
VcHMKAklPPM	Why 1% Of the World's Population Controls 45% Of the Wealth
k8NjtQAUIkM	Here's the Problem With the George Floyd Protests...
0DjZjcWmeUY	The Surprising Story Behind the Infinite Staircase Painting | Roger Penrose & Jordan Peterson
TSBOBJsdEuY	Why Quantum Mechanics Is an Inconsistent Theory | Roger Penrose & Jordan Peterson
tWNPFydBOKg	The Social Contagion of Mental Disorders Through Social Media Platforms
0O7PpMh9ZmY	The World Is Doing Much Better Than We're Being Told...
zRe0r4mWlBk	Here's Why Racism is Complicated...
iwQy-MVP4u0	Warning: Bill 67
YDElXTPm3VQ	Ukraine Update | Frederick Kagan
P8tzXazvyHQ	What the Truckers Do and Do Not Want
oq2rBE5zwAs	D-I-E must DIE
xu3ux1h_caU	It's Time to Live
KZ-ArH19Kvs	Why I Love Great Britain
hC2zy3mM6BM	Announcing 2022 Beyond Order Tour
pEWEEZ8rp24	The Actor
hJrEaLYacwc	Best Lessons Learned from Jordan B. Peterson | Afterskool
NrEOo1AZGso	Russell Peters Reveals Why He Was Never on Letterman
n_0LeJWdbi4	Why The Media is Obsessed With Jordan Peterson
qGgEF-SlSEU	Provocations: Nicole Arbour interviews Jordan Peterson
Su1FQUkMojU	The Development of the Individual Requires Sacrifice | Russell Brand & Mikhaila & Jordan Peterson
SAI1HXS9NwQ	Imitation as a Gateway to Development | Russell Brand & Mikhaila & Jordan Peterson
xiAqO5sJZpA	Advice to Young Men in Their 20s | Jordan and Mikhaila Peterson
Fd2wKn6-X_A	Unedited: Petersons' Times Interview
aupL1wXVbGA	Chris Voss Explains the "Accusation Audit" to Jordan and Mikhaila Peterson
1uicRKhgzAQ	New Year Resolution Help
iNV7pF8m5Uw	Beyond Order as a Last Minute Christmas Gift
m1dV_NjjqJQ	Jennette McCurdy Discusses SelfAuthoring
v0lOv-s7Yh4	Wim Hof Teaches Mikhaila and Jordan Peterson His Breathing Method
W3dlne7vHBo	Wim Hof on Controlling the Vagus Nerve
CpnyfynpVVo	The Power of the Cold With Wim Hof
6_6zwVNn88o	Return Home
GzRbEMzr0k8	(Reposted) - Peterson Family Update June 2020
S0P6H7cm0E4	Rex Murphy (REXTV) interviews Jordan Peterson
XiEczFBS61s	Auckland Clip 6: On Crippling Guilt
48ewiClu9Ho	Auckland Clip 3:  The Dawning of the Moral Sense
pBylbB7s5Nw	Steven Pinker: Progress, Despite Everything
5vckndTeiLc	Auckland Clip 2: The Four Fundamental Fears
cXllaoNQmZY	Bishop Barron: Word on Fire
dLfBWM0L3Vo	Sean Plunket: Full Interview: New Zealand
FHpvI8oGsuQ	Milo: Forbidden Conversation
Zi9BZUBDV9U	Auckland Clip 1: The Presumption of Innocence
pSB7EL8VTmU	JB Peterson and Akira the Don: Meaningwave/Lofi
RUo6Xz9asgw	We Make Stories Out of Totem Poles
o2bFzK2EdIo	Jamil Jivani: Author of "Why Young Men"
TVYDdZWUWlE	Conversations with John Anderson: Jordan Peterson and Dave Rubin
_xjP4fMwdLY	Commentaries on JB Peterson: Rebel Wisdom
LdtwgbHBTLs	Zizek vs Peterson: April 19
nlgG8C1GydA	Higher Ed & Our Cultural Inflection Point: JB Peterson/Stephen Blackwood
4XMdT2cF-ZM	Jordan Peterson Threatens Everything of Value In NZ
WrZDcEix7uk	Patreon Account Deletion
xWhuQOVTFGw	Interview with the grievance studies hoaxers
SYnCaCQe-sI	Comedians, canaries and coalmines
h8_OrrvaVVw	Goodbye to Patreon
ZwGDnSWmqhM	Take Aim, Even Badly
hKUffHXOb8U	Dr. Jordan B Peterson on Femsplainers
GWz1RDVoqw4	Patreon: Problem & Solution: Dave Rubin & Dr Jordan B Peterson
XvbtKAYdcZY	Sir Roger Scruton/Dr. Jordan B. Peterson: Apprehending the Transcendent
FUXcg9GWIIM	With Jocko Willink: The Catastrophe of the Utopian Soviet State
2eIpi0rpVf8	The Democrats: Apology and Promise
XJwEBizQgYI	Foreword to The Gulag Archipelago: 50th Anniversary
51IciCvDgBo	Encourage Your Children
bf9jBtA_LhA	Built not Bought: Comments on New Democrat Messaging
eqCNTopdBBs	The Coddling of the American Mind: Haidt/Lukianoff
YfdaAGZvYsA	AD Harris/Murray/Peterson Discussion: London
ZZI-FwSQRn8	AC Harris/Murray/Peterson Discussion: Dublin
BtkwF5qA6uE	AB Harris/Weinstein/Peterson Discussion: Vancouver
d-Z9EZE8kpo	AA Harris/Weinstein/Peterson Discussion: Vancouver
fBS537dKE9Q	Discussion: Sam Harris, the IDW and the left
nj9NEKisvB4	Gregg Hurwitz – An Invitation to the Intellectual Dark Web
t-lWMEZC_Uw	Former Australian Deputy PM John Anderson and I speak again
JyONgwyKEGA	Nina Paley: Animator Extraordinaire
6LLqWGn7e_k	Nina Paley: Death of the Firstborn Egyptians
PkNv4LFpGf4	The Lindsay Shepherd Affair: Update
PLrV1G1ENlA	Thorbjorn Thordarson | Dr. Jordan B Peterson: Iceland's Channel 2
7kUuURByaXc	Enlightenment now: Steven Pinker/JB Peterson
VIuX1pO70UA	An Animated Intro to Truth, Order and Chaos
v5O_FLUWYmg	The absolute necessity of fathers: Warren Farrell/JB Peterson
U4NijLf3M-A	Australia's John Anderson & Dr. Jordan B Peterson: In Conversation
OUs72-WqmwI	Quillette: Discussion with Founder/Editor Claire Lehmann
64MlP8mbJPo	With Australia's top radio host Neil Mitchell in studio...
B74WowudoFg	Swedes want to know: take 2: Ivar Arpi interviews me again
xtf4FDlpPZ8	The Master and His Emissary: Conversation with Dr. Iain McGilchrist
zQCTeGKHsVc	Documentary: A Glitch in the Matrix (David Fuller production)
wVbh1E2ICak	Hello to my Chinese Viewers and Happy New Year:
oRh9bqvmjS0	With Russell Brand...
Mff2I8Jzjl0	Heavens on Earth with skeptical Dr. Michael Shermer
P2cAmxV5OoY	5 Minute Teaser - Jordan Peterson Responds to Channel 4 Interview Controversy
YWVmDSMl30s	Deconstruction: The Lindsay Shepherd Affair
q14VhGQIUxg	Swedes want to know....
vhlL7IjaZNI	Drinking from the Firehose with Howard Bloom
FS5sR1WytNQ	The New Media: My Experience and More
RBl5PfA5HfU	Ayaan Hirsi Ali: Islam--Mecca vs Medina?
YGC3y1BPzwA	A Call to Rebellion for Ontario Legal Professionals
4IdzC6mJzLA	20 Minutes on UnderstandMyself.com
v-hIVnmUdXM	Modern Times: Camille Paglia & Jordan B Peterson
SEDuVF7kiPU	2017/08/08: James Damore and his Google Memo on Diversity  (complete)
agU-mHFcXdw	2017/08/08: James Damore and his Google Memo on Diversity
Nyw4rTywyY0	2017/06/15: 12 principles for a 21st century conservatism
KnIAAkSNtqo	2017/05/17: Senate hearing on Bill C16
D9bS7BCKRk8	2017/05/06: The Indiegogo campaign: last day
k-dYktgmNUg	2017/03/09: National Gallery Talk: Creativity -- and Protest
VMMYFx47MPw	2017/04/06: Dr Jordan B Peterson Chats with Some Black Guy
hJ4JEypNH2s	Dialogue: Great U Texas Austin Psych Prof JW Pennebaker
8ABa4RdNPxU	2017/02/11: An incendiary discussion at Ryerson U
i5qeouQwb1w	Composer Samuel Andreyev
wKOnJsxwTbI	Author Gregg Hurwitz
1VwpwP_fIqY	2017/02/14: A Picture of Mohamed
ZmZK9W4V1Rc	An open letter to Sam Harris
5pH-QZG9OpQ	If you've found this video, go here: https://youtu.be/kYYJlNbV1OM
YnEFt20qe0o	2016/12/31: A New Years Letter to the World
mbAKQrClN8A	2016/12/02: Thank you, Lord Black - really - but you're wrong
W2u62u4entc	2016/10/05: Part 3: The PC Game (and some counter-tactics)
2fUY046brGM	Existentialism Talk
MCOw0eJ84d8	45 minutes on a single paragraph of Nietzsche's Beyond Good & Evil
vjDdFXwITXo	Pathological Belief Systems
OunyV_HgGBc	Pay Attention
0j1XQoAwG2I	Potential: Jordan Peterson TEDxUofT
HeUjYzyh5v8	Music and the Patterns of Mind and World
qa9u5t3C0AI	Intro to SelfAuthoring
jIDqaCjpjD8	A History of Violence: CBC Ideas
N6KQpw945GY	Say No to Happiness: CBC Ideas
IrtEH5BYpmE	The Death of the Oceans (2)
wE29TM_YtR0	The Death of the Oceans (1)
_SFnC78K6QE	In Conversation with our Dreamers, Renegades, Visionaries: Dr. Jordan B. Peterson [Extended]
MLp7vWB0TeY	Tragedy vs Evil
A5216ZJVbVs	What Matters
